,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
0,andhra pradesh,2001,19.0,12.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,66.0
1,andhra pradesh,2001,2.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,2.0,0.0,25.0
2,andhra pradesh,2001,2.0,15.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,1.0,27.0
3,andhra pradesh,2001,1.0,34.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0
4,andhra pradesh,2001,5.0,9.0,0.0,6.0,1.0,0.0,1.0,0.0,4.0,40.0,66.0
5,andhra pradesh,2001,5.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0
6,andhra pradesh,2001,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0
7,arunachal pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,arunachal pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,arunachal pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,arunachal pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,assam,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,assam,2001,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
13,assam,2001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
14,assam,2001,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
15,assam,2001,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
16,assam,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,assam,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,bihar,2001,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
19,bihar,2001,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,10.0,19.0
20,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,bihar,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25,bihar,2001,0.0,3.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,8.0,22.0
26,bihar,2001,1.0,5.0,0.0,5.0,0.0,0.0,13.0,0.0,1.0,0.0,25.0
27,bihar,2001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
28,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,chhattisgarh,2001,0.0,19.0,2.0,6.0,1.0,4.0,0.0,0.0,0.0,37.0,69.0
30,chhattisgarh,2001,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,153.0,163.0
31,chhattisgarh,2001,1.0,10.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,26.0
32,chhattisgarh,2001,3.0,38.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,63.0,119.0
33,chhattisgarh,2001,8.0,77.0,2.0,20.0,0.0,5.0,0.0,0.0,0.0,96.0,208.0
34,goa,2001,1.0,10.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,12.0,34.0
35,gujarat,2001,8.0,2.0,0.0,4.0,0.0,20.0,18.0,0.0,1.0,44.0,97.0
36,gujarat,2001,8.0,6.0,0.0,16.0,0.0,25.0,0.0,0.0,3.0,73.0,131.0
37,gujarat,2001,17.0,5.0,2.0,7.0,0.0,20.0,0.0,0.0,2.0,12.0,65.0
38,gujarat,2001,4.0,0.0,0.0,11.0,0.0,18.0,0.0,0.0,1.0,14.0,48.0
39,gujarat,2001,5.0,2.0,0.0,12.0,0.0,7.0,0.0,0.0,1.0,3.0,30.0
40,gujarat,2001,30.0,12.0,2.0,16.0,0.0,17.0,0.0,0.0,2.0,20.0,99.0
41,gujarat,2001,6.0,12.0,0.0,54.0,0.0,5.0,0.0,0.0,1.0,24.0,102.0
42,gujarat,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,haryana,2001,7.0,26.0,3.0,66.0,0.0,0.0,0.0,2.0,0.0,46.0,150.0
44,haryana,2001,5.0,6.0,0.0,28.0,0.0,8.0,5.0,0.0,0.0,0.0,52.0
45,haryana,2001,9.0,42.0,0.0,21.0,0.0,8.0,0.0,0.0,0.0,9.0,89.0
46,haryana,2001,10.0,33.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,59.0
47,haryana,2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0
48,himachal pradesh,2001,1.0,8.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0
49,himachal pradesh,2001,2.0,12.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,7.0,31.0
50,himachal pradesh,2001,2.0,12.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,32.0
51,himachal pradesh,2001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
52,jammu & kashmir,2001,1.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0
53,jammu & kashmir,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,jammu & kashmir,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,jammu & kashmir,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,jammu & kashmir,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,jammu & kashmir,2001,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0
58,jharkhand,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,jharkhand,2001,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0
60,jharkhand,2001,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0
61,jharkhand,2001,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0
62,jharkhand,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,jharkhand,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,karnataka,2001,0.0,7.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,3.0,21.0
65,karnataka,2001,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0
66,karnataka,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
67,karnataka,2001,0.0,3.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,2.0,15.0
68,karnataka,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,karnataka,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,karnataka,2001,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,13.0
71,karnataka,2001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
72,kerala,2001,16.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0
73,kerala,2001,21.0,12.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,27.0,73.0
74,kerala,2001,27.0,18.0,0.0,5.0,0.0,7.0,2.0,0.0,2.0,24.0,85.0
75,kerala,2001,12.0,23.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,11.0,58.0
76,madhya pradesh,2001,6.0,38.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,108.0,170.0
77,madhya pradesh,2001,6.0,39.0,2.0,20.0,2.0,8.0,1.0,0.0,0.0,88.0,166.0
78,madhya pradesh,2001,9.0,20.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,43.0,77.0
79,madhya pradesh,2001,7.0,39.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,21.0,78.0
80,madhya pradesh,2001,17.0,53.0,2.0,16.0,4.0,16.0,2.0,0.0,0.0,93.0,203.0
81,madhya pradesh,2001,15.0,44.0,0.0,11.0,2.0,5.0,0.0,0.0,0.0,45.0,122.0
