,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes
0,andhra pradesh,2001,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,andhra pradesh,2001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2,andhra pradesh,2001,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,andhra pradesh,2001,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,andhra pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,andhra pradesh,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,andhra pradesh,2001,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,bihar,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,bihar,2001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,bihar,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,bihar,2001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
26,bihar,2001,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,bihar,2001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,chhattisgarh,2001,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
30,chhattisgarh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,chhattisgarh,2001,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
32,chhattisgarh,2001,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,chhattisgarh,2001,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,gujarat,2001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
36,gujarat,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37,gujarat,2001,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38,gujarat,2001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
39,gujarat,2001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
40,gujarat,2001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,gujarat,2001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
