State,Year,Crimes,Literacy Rate,Int Border
andhra pradesh,2001,270,56.96228571,0
arunachal pradesh,2001,0,52.92171429,1
assam,2001,18,62.80571429,1
bihar,2001,83,48.84214286,1
chhattisgarh,2001,585,58.47857143,0
goa,2001,34,82.71214286,0
gujarat,2001,572,68.25357143,1
haryana,2001,363,65.476,0
himachal pradesh,2001,82,74.38,1
jammu & kashmir,2001,28,55.24418605,1
jharkhand,2001,41,53.67571429,0
karnataka,2001,68,65.82219048,0
kerala,2001,247,91.65285714,0
madhya pradesh,2001,1425,59.06714286,0
maharashtra,2001,1621,74.72642857,0
manipur,2001,0,69.385,1
meghalaya,2001,0,62.15971429,1
mizoram,2001,0,85.78928571,1
nagaland,2001,0,69.50928571,1
odisha,2001,68,60.11857143,0
punjab,2001,123,67.27,1
rajasthan,2001,218,54.43785714,1
sikkim,2001,5,68.004,1
tamil nadu,2001,61,72.05514286,0
tripura,2001,0,73.918,1
uttar pradesh,2001,3709,54.49142857,1
uttarakhand,2001,46,68.59142857,1
west bengal,2001,167,67.17928571,1
a&n islands,2001,0,80.33142857,0
chandigarh,2001,58,82.044,0
d&n haveli,2001,0,59.217,0
daman & diu,2001,0,78.82666667,0
delhi,2001,912,81.16514286,0
lakshadweep,2001,1,87.47142857,0
puducherry,2001,5,80.36961905,0
andhra pradesh,2002,333,57.94877143,0
arunachal pradesh,2002,6,54.16882857,1
assam,2002,14,63.66475,1
bihar,2002,57,49.58982143,1
chhattisgarh,2002,733,59.53028571,0
goa,2002,31,83.82789286,0
gujarat,2002,710,69.21182143,1
haryana,2002,235,66.7806,0
himachal pradesh,2002,91,75.327,1
jammu & kashmir,2002,42,56.34719767,1
jharkhand,2002,111,54.54285714,0
karnataka,2002,114,66.75644762,0
kerala,2002,240,92.48171429,0
madhya pradesh,2002,2329,60.03335714,0
maharashtra,2002,1860,75.67639286,0
manipur,2002,0,70.39689286,1
meghalaya,2002,1,63.14202857,1
mizoram,2002,0,86.85575,1
nagaland,2002,0,70.66782143,1
odisha,2002,56,61.10792857,0
punjab,2002,161,68.3672,1
rajasthan,2002,204,55.41425,1
sikkim,2002,6,69.6252,1
tamil nadu,2002,135,72.94348571,0
tripura,2002,0,75.2662,1
uttar pradesh,2002,1826,55.40035714,1
uttarakhand,2002,27,69.70321429,1
west bengal,2002,175,68.04410714,1
a&n islands,2002,0,81.30757143,0
chandigarh,2002,49,82.4278,0
d&n haveli,2002,0,60.6265,0
daman & diu,2002,0,79.62166667,0
delhi,2002,697,81.66348571,0
lakshadweep,2002,0,88.82464286,0
puducherry,2002,17,81.23870476,0
andhra pradesh,2003,1463,58.93525714,0
arunachal pradesh,2003,18,55.41594286,1
assam,2003,19,64.52378571,1
bihar,2003,56,50.3375,1
chhattisgarh,2003,614,60.582,0
goa,2003,57,84.94364286,0
gujarat,2003,665,70.17007143,1
haryana,2003,287,68.0852,0
himachal pradesh,2003,109,76.274,1
jammu & kashmir,2003,49,57.4502093,1
jharkhand,2003,35,55.41,0
karnataka,2003,116,67.69070476,0
kerala,2003,179,93.31057143,0
madhya pradesh,2003,2662,60.99957143,0
maharashtra,2003,2001,76.62635714,0
manipur,2003,36,71.40878571,1
meghalaya,2003,46,64.12434286,1
mizoram,2003,17,87.92221429,1
nagaland,2003,0,71.82635714,1
odisha,2003,140,62.09728571,0
punjab,2003,184,69.4644,1
rajasthan,2003,240,56.39064286,1
sikkim,2003,15,71.2464,1
tamil nadu,2003,177,73.83182857,0
tripura,2003,0,76.6144,1
uttar pradesh,2003,1702,56.30928571,1
uttarakhand,2003,23,70.815,1
west bengal,2003,148,68.90892857,1
a&n islands,2003,6,82.28371429,0
chandigarh,2003,40,82.8116,0
d&n haveli,2003,1,62.036,0
daman & diu,2003,6,80.41666667,0
delhi,2003,516,82.16182857,0
lakshadweep,2003,1,90.17785714,0
puducherry,2003,5,82.10779048,0
andhra pradesh,2004,1328,59.92174286,0
arunachal pradesh,2004,22,56.66305714,1
assam,2004,21,65.38282143,1
bihar,2004,59,51.08517857,1
chhattisgarh,2004,940,61.63371429,0
goa,2004,53,86.05939286,0
gujarat,2004,799,71.12832143,1
haryana,2004,164,69.3898,0
himachal pradesh,2004,92,77.221,1
jammu & kashmir,2004,35,58.55322093,1
jharkhand,2004,112,56.27714286,0
karnataka,2004,189,68.6249619,0
kerala,2004,341,94.13942857,0
madhya pradesh,2004,3653,61.96578571,0
maharashtra,2004,2281,77.57632143,0
manipur,2004,31,72.42067857,1
meghalaya,2004,0,65.10665714,1
mizoram,2004,0,88.98867857,1
nagaland,2004,1,72.98489286,1
odisha,2004,129,63.08664286,0
punjab,2004,193,70.5616,1
rajasthan,2004,403,57.36703571,1
sikkim,2004,8,72.8676,1
tamil nadu,2004,393,74.72017143,0
tripura,2004,59,77.9626,1
uttar pradesh,2004,1921,57.21821429,1
uttarakhand,2004,56,71.92678571,1
west bengal,2004,206,69.77375,1
a&n islands,2004,14,83.25985714,0
chandigarh,2004,66,83.1954,0
d&n haveli,2004,11,63.4455,0
daman & diu,2004,2,81.21166667,0
delhi,2004,766,82.66017143,0
lakshadweep,2004,0,91.53107143,0
puducherry,2004,12,82.97687619,0
andhra pradesh,2005,950,60.90822857,0
arunachal pradesh,2005,22,57.91017143,1
assam,2005,199,66.24185714,1
bihar,2005,115,51.83285714,1
chhattisgarh,2005,997,62.68542857,0
goa,2005,53,87.17514286,0
gujarat,2005,836,72.08657143,1
haryana,2005,374,70.6944,0
himachal pradesh,2005,131,78.168,1
jammu & kashmir,2005,57,59.65623256,1
jharkhand,2005,97,57.14428571,0
karnataka,2005,191,69.55921905,0
kerala,2005,386,94.96828571,0
madhya pradesh,2005,3721,62.932,0
maharashtra,2005,2305,78.52628571,0
manipur,2005,20,73.43257143,1
meghalaya,2005,81,66.08897143,1
mizoram,2005,74,90.05514286,1
nagaland,2005,0,74.14342857,1
odisha,2005,86,64.076,0
punjab,2005,210,71.6588,1
rajasthan,2005,580,58.34342857,1
sikkim,2005,25,74.4888,1
tamil nadu,2005,288,75.60851429,0
tripura,2005,28,79.3108,1
uttar pradesh,2005,1801,58.12714286,1
uttarakhand,2005,76,73.03857143,1
west bengal,2005,236,70.63857143,1
a&n islands,2005,8,84.236,0
chandigarh,2005,57,83.5792,0
d&n haveli,2005,5,64.855,0
daman & diu,2005,5,82.00666667,0
delhi,2005,1026,83.15851429,0
lakshadweep,2005,0,92.88428571,0
puducherry,2005,8,83.8459619,0
andhra pradesh,2006,1386,61.89471429,0
arunachal pradesh,2006,27,59.15728571,1
assam,2006,252,67.10089286,1
bihar,2006,66,52.58053571,1
