STATE/UT,DISTRICT,Year,Murder,Infanticid,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
Andhra Pradesh,ADILABAD,2013,1,0,21,0,9,0,0,0,0,1,1,33
Andhra Pradesh,ANANTAPUR,2013,1,0,15,0,68,3,0,0,0,0,0,87
Andhra Pradesh,CHITTOOR,2013,6,0,1,0,0,0,0,0,0,0,0,7
Andhra Pradesh,CUDDAPAH,2013,0,2,14,0,32,0,0,0,0,1,0,49
Andhra Pradesh,CYBERABAD,2013,8,1,45,2,69,0,2,9,0,1,19,156
Andhra Pradesh,EAST GODAVARI,2013,0,0,4,0,1,0,0,0,0,0,20,25
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,GUNTUR,2013,9,1,21,0,46,0,7,0,0,0,0,84
Andhra Pradesh,GUNTUR URBAN,2013,0,0,23,0,24,0,3,0,0,0,0,50
Andhra Pradesh,HYDERABAD CITY,2013,2,0,21,0,16,1,0,1,0,0,11,52
Andhra Pradesh,KARIMNAGAR,2013,3,1,33,0,84,0,0,0,0,1,4,126
Andhra Pradesh,KHAMMAM,2013,4,1,46,1,83,0,0,0,0,2,89,226
Andhra Pradesh,KRISHNA,2013,2,0,49,0,35,3,0,0,0,0,81,170
Andhra Pradesh,KURNOOL,2013,0,1,15,0,50,0,6,0,0,0,27,99
Andhra Pradesh,MAHABOOBNAGAR,2013,12,0,70,0,35,0,2,6,0,0,0,125
Andhra Pradesh,MEDAK,2013,1,0,35,0,11,0,2,17,0,0,0,66
Andhra Pradesh,NALGONDA,2013,1,0,53,2,70,0,1,0,0,3,0,130
Andhra Pradesh,NELLORE,2013,4,0,13,0,61,1,3,0,0,0,55,137
Andhra Pradesh,NIZAMABAD,2013,6,0,24,2,9,0,5,6,0,2,11,65
Andhra Pradesh,PRAKASHAM,2013,3,0,35,0,36,0,1,1,1,0,57,134
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,10,0,2,0,1,0,0,0,9,22
Andhra Pradesh,RANGA REDDY,2013,5,0,21,0,13,0,0,0,0,1,6,46
Andhra Pradesh,SECUNDERABAD RLY.,2013,1,0,0,0,2,0,0,0,0,0,0,3
Andhra Pradesh,SRIKAKULAM,2013,2,0,18,0,15,2,0,0,0,1,32,70
Andhra Pradesh,TIRUPATHI URBAN,2013,1,0,2,0,8,0,0,0,0,0,0,11
Andhra Pradesh,VIJAYAWADA CITY,2013,1,0,28,0,38,0,6,0,0,1,111,185
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,0,1,0,4,0,0,0,1,6
Andhra Pradesh,VISAKHA RURAL,2013,1,0,9,0,12,0,0,0,0,0,2,24
