State/ UT,District/ Area,Year,Murder,Infanticide,Rape,Foeticide,Kidnapping & Abduction,Abetment of suicide of child,Exposure and Abandonment,Procuration of minor girls,Selling of minors for prostitution,"Prohibition of Child Marriage Act, 2006",Other Crimes,Total Crimes
Andhra Pradesh,Anantapur,2014,8,1,21,0,88,0,0,0,0,2,0,120
Andhra Pradesh,Chittoor,2014,4,0,28,0,8,0,0,21,0,0,0,103
Andhra Pradesh,Cuddapah,2014,1,0,22,0,27,2,0,0,0,0,0,55
Andhra Pradesh,East Godavari,2014,1,1,45,0,25,1,0,0,0,5,64,142
Andhra Pradesh,Guntakal Railway,2014,3,0,0,0,0,0,0,0,0,0,0,3
Andhra Pradesh,Guntur,2014,1,0,21,0,36,0,0,0,0,0,10,70
Andhra Pradesh,Guntur Urban,2014,1,0,28,0,42,0,8,16,0,0,6,145
Andhra Pradesh,Krishna,2014,2,0,52,0,19,0,0,0,0,0,21,144
Andhra Pradesh,Kurnool,2014,3,0,17,0,25,0,2,0,0,3,3,71
Andhra Pradesh,Nellore,2014,1,0,33,0,125,0,3,0,0,0,24,232
Andhra Pradesh,Prakasham,2014,3,0,0,0,28,5,3,0,0,1,1,115
Andhra Pradesh,Rajahmundry,2014,0,0,14,0,10,0,0,0,0,0,4,39
Andhra Pradesh,Srikakulam,2014,2,0,24,0,25,0,1,0,0,1,19,100
Andhra Pradesh,Tirupathi Urban,2014,4,0,10,0,11,0,0,0,0,0,2,27
Andhra Pradesh,Vijayawada City,2014,1,0,38,0,18,0,4,0,0,1,186,334
Andhra Pradesh,Vijayawada Railway,2014,0,0,0,0,3,0,4,0,0,0,0,9
Andhra Pradesh,Visakha Rural,2014,2,0,18,0,10,0,0,0,0,0,0,38
Andhra Pradesh,Visakhapatnam,2014,2,0,26,0,66,0,0,0,0,1,0,109
Andhra Pradesh,Vizianagaram,2014,0,0,17,0,11,0,0,0,0,1,15,44
Andhra Pradesh,West Godavari,2014,6,0,63,0,23,0,1,0,0,1,25,159
Andhra Pradesh,Total District(s),2014,45,2,477,0,600,8,26,37,0,16,380,2059
Arunachal Pradesh,Anjaw,2014,0,0,0,0,1,0,0,0,0,0,0,2
Arunachal Pradesh,Changlang,2014,0,0,1,0,1,0,0,0,0,0,0,2
Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2014,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,2014,0,0,0,0,1,0,0,0,0,0,0,2
Arunachal Pradesh,Kameng West,2014,0,0,0,0,1,0,0,0,0,0,0,3
Arunachal Pradesh,Kurung Kumey,2014,0,0,3,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Lohit,2014,0,0,7,0,25,0,0,0,0,0,0,32
Arunachal Pradesh,Longding,2014,1,0,3,0,2,0,0,0,0,0,0,6
Arunachal Pradesh,Lower Dibang Valley,2014,0,0,1,0,1,0,0,0,0,0,0,2
Arunachal Pradesh,Papum Pare City,2014,2,0,13,0,30,0,0,0,0,0,3,48
Arunachal Pradesh,Papum Pare Rural,2014,0,0,0,0,1,0,0,0,0,0,0,1
Arunachal Pradesh,Siang East,2014,0,0,9,0,0,0,0,0,0,0,0,11
Arunachal Pradesh,Siang Upper,2014,1,0,1,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Siang West,2014,1,0,0,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,Subansiri Lower,2014,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Subansiri Upper,2014,0,0,1,0,1,0,0,1,0,0,0,7
Arunachal Pradesh,Tawang,2014,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,2014,0,0,3,0,2,1,0,0,0,0,0,8
Arunachal Pradesh,Total District(s),2014,5,0,43,0,66,1,0,1,0,0,3,134
Assam,Barpeta,2014,2,0,26,0,0,0,0,0,0,0,0,41
Assam,Baksa,2014,0,0,0,0,0,0,0,0,0,0,0,4
Assam,Bongaigaon,2014,0,0,0,0,0,0,0,0,0,0,0,4
Assam,Cachar,2014,1,0,1,0,5,0,0,0,0,0,1,34
Assam,Chirang,2014,4,0,3,0,0,0,0,19,0,0,0,45
