STATE,DISTRICT,Year,Murder,Infanticide,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,Literacy Rate- Total,Literacy Rate - Rural,Literacy Rate - Urban
ANDHRA PRADESH,ADILABAD,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,ANANTAPUR,2001,19,NA,12,0,29,6,0,0,0,0,0,66,,,
ANDHRA PRADESH,CHITTOOR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,CUDDAPAH,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,EAST GODAVARI,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,GUNTUR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,HYDERABAD CITY,2001,2,NA,0,0,0,0,19,2,0,2,0,25,,,
ANDHRA PRADESH,KARIMNAGAR,2001,1,NA,4,0,0,0,3,0,0,0,1,9,,,
ANDHRA PRADESH,KHAMMAM,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,KRISHNA,2001,1,NA,11,0,2,0,0,4,0,0,0,18,,,
ANDHRA PRADESH,KURNOOL,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,MAHABOOBNAGAR,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,MEDAK,2001,1,NA,18,0,12,0,0,3,0,0,0,34,,,
ANDHRA PRADESH,NALGONDA,2001,0,NA,16,0,4,0,0,0,0,0,0,20,,,
ANDHRA PRADESH,NELLORE,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,NIZAMABAD,2001,3,NA,3,0,6,1,0,0,0,2,39,54,,,
ANDHRA PRADESH,PRAKASHAM,2001,0,NA,3,0,0,0,0,0,0,0,0,3,,,
ANDHRA PRADESH,RANGA REDDY,2001,2,NA,3,0,0,0,0,1,0,2,1,9,,,
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,SRIKAKULAM,2001,0,NA,0,0,0,0,0,0,0,0,0,0,,,
ANDHRA PRADESH,VIJAYAWADA,2001,5,NA,8,0,4,0,0,0,0,0,6,23,,,
