0,1,2,3,4,5,6,7,8,9,10,11,12
andhra pradesh,2001,35.0,84.0,0.0,57.0,7.0,22.0,12.0,0.0,6.0,47.0,270.0
arunachal pradesh,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assam,2001,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
bihar,2001,2.0,16.0,0.0,26.0,0.0,1.0,16.0,1.0,2.0,18.0,83.0
chhattisgarh,2001,14.0,150.0,5.0,46.0,1.0,15.0,0.0,0.0,0.0,354.0,585.0
goa,2001,1.0,10.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,12.0,34.0
gujarat,2001,78.0,39.0,4.0,120.0,0.0,112.0,18.0,0.0,11.0,190.0,572.0
haryana,2001,31.0,108.0,3.0,124.0,0.0,16.0,5.0,2.0,0.0,74.0,363.0
himachal pradesh,2001,5.0,35.0,0.0,20.0,0.0,15.0,0.0,0.0,0.0,7.0,82.0
jammu & kashmir,2001,2.0,6.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,1.0,28.0
jharkhand,2001,5.0,11.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,41.0
karnataka,2001,3.0,18.0,1.0,18.0,0.0,15.0,1.0,2.0,1.0,9.0,68.0
kerala,2001,76.0,64.0,0.0,28.0,0.0,9.0,4.0,0.0,3.0,63.0,247.0
madhya pradesh,2001,103.0,390.0,7.0,100.0,8.0,69.0,4.0,0.0,4.0,740.0,1425.0
maharashtra,2001,203.0,367.0,17.0,210.0,4.0,281.0,21.0,1.0,43.0,473.0,1621.0
manipur,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meghalaya,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mizoram,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nagaland,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odisha,2001,2.0,17.0,0.0,22.0,4.0,1.0,0.0,0.0,0.0,22.0,68.0
punjab,2001,20.0,38.0,7.0,35.0,0.0,3.0,7.0,0.0,0.0,13.0,123.0
